3DLive,3DLIVE,3D LIVE,Live
Chatting,Chat,Chatting,Chattin',Let's Chat,CHIT-CHAT,Chit Chat,Talk,FREE TALK,FREETALK,Zatsu,Zatsudan
Collab,Collab,Off Collab,Off Collaboration
Debut,DEBUT STREAM,Debut,Self Introduction,First Live
Drawing,Drawing,Draw,Let's Draw
Gaming,Minecraft,Mine craft,APEX,Abex,Elden Ring,AmongUs,Among Us,Tetris,Resident Evil,Pokemon,Pokémon,Mario,Mario Galaxy,Mario Party,Tetris99,Duolingo,Simulator,HoloCure,Rust,League of Legends,Ring Fit,RFA,Ring Fit Adventure,VALORANT,Raft,hololiveError,hololive ERROR
Karaoke,Karaoke,Singing,I tried singing,Song,Sing
Music Video,Official,Original,Cover,Covered,MV,AMV,3DMV
Other,ASMR,Vlog,Animation,Manga Reading
Outfit Reveal,New Outfit Reveal,New Outfit,Reveal
Q&A,Q&A,Q & A,Marshmallow
Review,Room Review
Superchat Reading,Superchat Reading,SC Reading,SC Catchup,Supers,Superchat,Superchats,Super Chat,Super Chats,Supas,MCTHANKIES,SUPA Sunday,SUPASUNDAY,SUPASUNDAE,Donation Reading
VR,VR,3DVR,360
Watchalong,Watchalong,Watch-a-long,Watch-along
