name,group,branch,unit,unit2,debut_date,birthday,active,youtube_channel_id,twitter_handle
Tokino Sora,Hololive,Japan,0th Generation,,2017-09-07,05-15,True,UCp6993wxpyDPHUpavwDFqgg,tokino_sora
Roboco-san,Hololive,Japan,0th Generation,,2018-03-04,05-23,True,UCDqI2jOz0weumE8s7paEk6g,robocosan
Hoshimachi Suisei,Hololive,Japan,0th Generation,,2018-03-22,03-22,True,UC5CwaMl1eIgY8h02uZw7u8A,suisei_hosimati
Sakura Miko,Hololive,Japan,0th Generation,,2018-08-01,03-05,True,UC-hM6YJuNYVAmUWxeIr9FeA,sakuramiko35
AZKi,Hololive,Japan,0th Generation,,2018-11-15,07-01,True,UC0TXe_LYZ4scaW2XMyi5_kw,AZKi_VDiVA
Yozora Mel,Hololive,Japan,1st Generation,,2018-05-13,10-31,True,UCD8HOxPs4Xvsm8H0ZxXGiBw,yozoramel
Shirakami Fubuki,Hololive,Japan,1st Generation,GAMERS,2018-06-01,10-05,True,UCdn5BQ06XqgXoAxIhbqw5Rg,shirakamifubuki
Natsuiro Matsuri,Hololive,Japan,1st Generation,,2018-06-01,07-22,True,UCQ0UDLQCjY0rmuxCDE38FGg,natsuiromatsuri
Akai Haato,Hololive,Japan,1st Generation,,2018-06-02,08-10,True,UC1CfXB_kRs3C-zaeTG3oGyg,akaihaato
Aki Rosenthal,Hololive,Japan,1st Generation,,2018-06-08,02-17,True,UCFTLzh12_nrtzqBPsTCqenA,akirosenthal
Minato Aqua,Hololive,Japan,2nd Generation,,2018-08-08,12-01,True,UC1opHUrw8rvnsadT-iGp7Cg,minatoaqua
Murasaki Shion,Hololive,Japan,2nd Generation,,2018-08-17,12-08,True,UCXTpFs_3PqI41qX2d9tL2Rw,murasakishionch
Nakiri Ayame,Hololive,Japan,2nd Generation,,2018-09-03,12-13,True,UC7fk0CB07ly8oSl0aqKkqFg,nakiriayame
Yuzuki Choco,Hololive,Japan,2nd Generation,,2018-09-04,02-14,True,UC1suqwovbL1kzsoaZgFZLKg,yuzukichococh
Oozora Subaru,Hololive,Japan,2nd Generation,,2018-09-16,07-02,True,UCvzGlP9oQwU--Y0r9id_jnA,oozorasubaru
Ookami Mio,Hololive,Japan,GAMERS,,2018-12-07,08-20,True,UCp-5t9SrOQwXMU7iIjQfARg,ookamimio
Nekomata Okayu,Hololive,Japan,GAMERS,,2019-04-06,02-22,True,UCvaTdHTWBGv3MKj3KVqJVCw,nekomataokayu
Inugami Korone,Hololive,Japan,GAMERS,,2019-04-13,10-01,True,UChAnqc_AY5_I3Px5dig3X1Q,inugamikorone
Usada Pekora,Hololive,Japan,3rd Generation,,2019-07-17,01-12,True,UC1DCedRgGHBdm81E1llLhOQ,usadapekora
Uruha Rushia,Hololive,Japan,3rd Generation,,2019-07-18,01-22,False,UCl_gCybOJRIgOXw6Qb4qJzQ,uruharushia
Shiranui Flare,Hololive,Japan,3rd Generation,,2019-08-07,04-02,True,UCvInZx9h3jC2JzsIzoOebWg,shiranuiflare
Shirogane Noel,Hololive,Japan,3rd Generation,,2019-08-08,11-24,True,UCdyqAaZDKHXg4Ahi7VENThQ,shiroganenoel
Houshou Marine,Hololive,Japan,3rd Generation,,2019-08-11,07-30,True,UCCzUftO8KOVkV4wQG1vkUvg,houshoumarine
Amane Kanata,Hololive,Japan,4th Generation,,2019-12-27,04-22,True,UCZlDXzGoo7d44bwdNObFacg,amanekanatach
Kiryu Coco,Hololive,Japan,4th Generation,,2019-12-28,06-17,False,UCS9uQI-jC3DE0L4IpXyvr6w,kiryucoco
